"portal","suchbegriff","titel","auftraggeber","veroeffentlichungsdatum","frist","beschreibung","link"
"Burgenland","Raumplanung","Klinik Güssing - EU-weiter, einstufiger, offener, anonymer GP-Realisierungswettbewerb","Burgenländische Krankenanstalten-Gesellschaft m.b.H.","","01 Apr. 2026 12:00","Klinik Güssing - EU-weiter, einstufiger, offener, anonymer GP-Realisierungswettbewerb Berichtigt Art der Bekanntmachung: Wettbewerbsbekanntmachung Auftraggeber: Burgenländische Krankenanstalten-Gesellschaft m.b.H.","https://burgenland.vergabeportal.at/List/Detail/231525-01"
"Burgenland","Raumplanung","129_FF Hornstein_Baumeisterarbeiten","PEB – Projektentwicklung Burgenland GmbH","","13 Aug. 2025 08:00","129_FF Hornstein_Baumeisterarbeiten Widerrufserklärung Art der Bekanntmachung: Auftragsbekanntmachung Auftraggeber: PEB – Projektentwicklung Burgenland GmbH","https://burgenland.vergabeportal.at/List/Detail/220740-00"
"USP Bund","Raumplanung","Wien Meidling; Verbundgebäude Planung - Generalplanungsleistungen (Objektplanung und Fachplanung) für LPH 1-4 und optional für LPH 5-9","ÖBB-Infrastruktur AG","2026-03-31","","","tender-detail?object=505019f6-4c66-4ce4-9700-a5ed3cf664c3-b7f115d2-0963-459f-91ae-3ee83ab8fd00&backlink=L2F0Lmd2LmJtZHcuZXByb2MtcC9wdWJsaWMvdGVuZGVybGlzdD9xPVJhdW1wbGFudW5nJmxvYWRlZD10cnVl&orderColumn=2&orderDir=desc&start=0"
"USP Bund","Raumplanung","Neumarkt-Köstendorf – Salzburg; Neubaustrecke, Ausschreibungsplanung und vorgezogene Maßnahmen - Detailplanung Ökologie, optional: Umweltbaubegleitung und Monitoring","ÖBB-Infrastruktur AG","2026-03-20","","","tender-detail?object=505019f6-4c66-4ce4-9700-a5ed3cf664c3-e9bb03d0-28a6-454f-8201-cce3324b509f&backlink=L2F0Lmd2LmJtZHcuZXByb2MtcC9wdWJsaWMvdGVuZGVybGlzdD9xPVJhdW1wbGFudW5nJmxvYWRlZD10cnVl&orderColumn=2&orderDir=desc&start=0"
"USP Bund","Raumplanung","A12 INSB + GSA Imst - Mils, km 131,420 – km 136,670 - Ökologische Baubegleitung","Autobahnen- und Schnellstraßen-Finanzierungs-Aktiengesellschaft","2026-02-02","","","tender-detail?object=41a809d9-0b61-4991-86b8-74dc07973af3-6f16160b-e4cc-4db8-ae8b-b187d32ad33a&backlink=L2F0Lmd2LmJtZHcuZXByb2MtcC9wdWJsaWMvdGVuZGVybGlzdD9xPVJhdW1wbGFudW5nJmxvYWRlZD10cnVl&orderColumn=2&orderDir=desc&start=0"
"USP Bund","Raumplanung","Beratungsleistungen Organisation","ÖBB Business Competence Center GmbH","2026-01-27","","","tender-detail?object=505019f6-4c66-4ce4-9700-a5ed3cf664c3-305937b7-a7b6-44cd-b64d-48f3567c05ec&backlink=L2F0Lmd2LmJtZHcuZXByb2MtcC9wdWJsaWMvdGVuZGVybGlzdD9xPVJhdW1wbGFudW5nJmxvYWRlZD10cnVl&orderColumn=2&orderDir=desc&start=0"
"USP Bund","Raumplanung","Studie Politische Teilhabe in Europäischen Metropolen","Kammer für Arbeiter und Angestellte für Wien","2026-01-12","","","tender-detail?object=a2c49245-23b2-46e1-acc7-c5a78913a090-2bac8f3f-86d6-4cf5-a073-ccf2104c76f3&backlink=L2F0Lmd2LmJtZHcuZXByb2MtcC9wdWJsaWMvdGVuZGVybGlzdD9xPVJhdW1wbGFudW5nJmxvYWRlZD10cnVl&orderColumn=2&orderDir=desc&start=0"
"USP Bund","Raumplanung","Verteilerkreis Favoriten Wien - Planervertrag Masterplanung Städtebau, Architektur und Freiraumplanung","Autobahnen- und Schnellstraßen-Finanzierungs-Aktiengesellschaft","2026-01-12","","","tender-detail?object=41a809d9-0b61-4991-86b8-74dc07973af3-ffb9a1ba-cfb6-4b69-8cbb-be5342ed9e5b&backlink=L2F0Lmd2LmJtZHcuZXByb2MtcC9wdWJsaWMvdGVuZGVybGlzdD9xPVJhdW1wbGFudW5nJmxvYWRlZD10cnVl&orderColumn=2&orderDir=desc&start=0"
"USP Bund","Raumplanung","INSB+WRS+LS Mötz-Simmeringgalerie, km 113,200 – km 116,700 - Ökologische Baubegleitung","Autobahnen- und Schnellstraßen-Finanzierungs-Aktiengesellschaft","2025-11-25","","","tender-detail?object=41a809d9-0b61-4991-86b8-74dc07973af3-5b128b3c-4ef3-4443-bc83-ca5e149b4a6c&backlink=L2F0Lmd2LmJtZHcuZXByb2MtcC9wdWJsaWMvdGVuZGVybGlzdD9xPVJhdW1wbGFudW5nJmxvYWRlZD10cnVl&orderColumn=2&orderDir=desc&start=0"
"USP Bund","Raumplanung","Gewässerpflegekonzepte - Bezirke Kitzbühel und Imst","Republik Österreich, Bundesministerium für Land- und Forstwirtschaft, Klima- und Umweltschutz, Regionen und Wasserwirtschaft, Bundeswasserbauverwaltung, vertreten durch das Amt der Tiroler Landesregierung, Abteilung Wasserwirtschaft","2025-11-23","","","tender-detail?object=a2c49245-23b2-46e1-acc7-c5a78913a090-b0c8175c-dd8a-4ed1-a041-159323f738e7&backlink=L2F0Lmd2LmJtZHcuZXByb2MtcC9wdWJsaWMvdGVuZGVybGlzdD9xPVJhdW1wbGFudW5nJmxvYWRlZD10cnVl&orderColumn=2&orderDir=desc&start=0"
